Name,Description
"Grand Trictrac","Grand Trictrac is a Tables game popular in France since the Early Modern period. It is different from similar games in that scores are accumulated by hypothetical moves and achieving particular positions in the game."
Saturankam,"Saturankam is a race game played in South Asia. It is played by Sinhalese and Tamil people, and is similar to other games throughout the region. Though it is sometimes known as Siga or Chaturanga, it is distinct from the most widely-played games known by these names."
Ashta-kashte,"Ashta-kashte is a race game that was documented in India during the nineteenth century. The exact location of this version of the game was not recorded, but it is similar to other race games that mimic Pachisi and similar games, but on a square board."
Tamman,"Tamman is a race game with a spiralling track on a square board that was played in the coastal regions of Somaliland in the early twentieth century."
Chaupar,"Chaupar is a very popular race game from South Asia that is related to similar games from the region. It has been documented since at least the sixteenth century, when the first description of the rules has been documented."
"Pancha Keliya","Pancha Keliya is a race game game similar to others played in South Asia which have similar tracks, and seem to date from at least the medieval period. "
"Tsun K'i","Tsun K'i is a race game played in seventeenth century China. It is described in De Ludibus Orientalibus, which is the only source mentioning this game."
Nyout,"Nyout is a race game played in Korea in the nineteenth century. It was described as the most popular game in Korean at the time by Culin, and is played by two to four players."
Ghingskoot,"Ghingskoot is a game played by the Tohono O'odham people of Arizona. It is a race game similar to others known throughout the southwest United States and Mexico as Quince, and may be related to Mesoamerican Patolli."
Ceelkoqyuqkoqiji,"Ceelkoqyuqkoqiji is a two-row mancala-style board game documented in Yunnan Province, China by Vernon Eagle. It was described to him by He Hao, Li Qiulan, and Wang Qiaoxin."
Yucebao,"Yucebao is a two-row mancala-style board game played by the Bai people of Yunnan, China. It is typically played by men and boys, and involves the use of special stones which effect captures in addition to the usual mancala-style capturing rules."
Laomuzhu,"Laomuzhu is a two-row mancala-style board game from the Yunnan region of China. It is similar to other mancala games from Asia, but it has extra capturing rules determined by the movement of specialized stones."
Zigulzoqge,"Ziguloqge is a mancala-style board game played by the Hani people of Yunnan, China. It is unique among mancala games because the number of row is detemined by the number of players, and players can choose which rows to sow their counters along, rather than sticking to a predetermined track."
Dongjintian,"Dongjintian is a two-row mancala-style board game played in China. It was described to Vernon Eagle by Wang Hongbin. "
12-Ring,"12-Ring is a prehistoric game from Bronze Age Crete. The repeated occurrence of the pattern of twelve depressions in a circle found as graffiti at sites on Crete led to the speculation that it might be a game. Spatial analysis also showed that these boards were found in locations typically chosen by game players."
Halusa,"Halusa is two-row mancala-style game documented in early modern Mesopotamia. It was said to be played by Arabs and Turks living there, and it is one of the earliest descriptions of the rules of a mancala game that has survived. It is similar to other mancala games which are still played in Southwest Asia today. The board is drawn as a hinged wooden box, with two rows of six holes."
Baqura,"Baqura is a two-row mancala-style board game reported in the seventeenth century by Thomas Hyde in his De Ludis Orientalibus. He describes the rules and states that it was played in Mesopotamia."
"Li'b al-Ghashim","Li'b al-Ghashim ("Game of the unlearned") is a two-row mancala-style board game from Egypt. It begins with one player distributing the counters unequally in the holes, and the other player having the option to swap sides if they are not pleased with the distribution."
"Mangala (Bedouin)","Mangala is a word which refers to many two-row mancala-style board games throughout Western Asia and North Africa. This game was played by the Bedouin of the Arabian Peninsula in the early twentieth century."
Pallankuli,"Pallankuli is a two-row mancala-style board game played primarily by women in South India. Men do play the game, but typically gambled when playing."
Puhulmutu,"Puhulmutu is a two-row mancala-style board game played in Sri Lanka. It involves complex rules for eliminating holes in multiple rounds of the game."
Walak-Pussa,"Walak-Pussa is a two-row mancala-style board game played in Sri Lanka. "
"Kotu Baendum","Kotu Baendum is a two-row mancala-style board game from Sri Lanka. It was documented in the early twentieth century by Hernry Parker."
